Adress: 4295240656, Name: mlx_shaders_font
Adress: 4295241264, Name: mlx_shaders
Adress: 4295241328, Name: get_mouse_button
Adress: 4295241408, Name: [NSWindowEvent initWithContentRect:styleMask:backing:defer:]
Adress: 4295241904, Name: [NSWindowEvent setEvent:andFunc:andParam:]
Adress: 4295241984, Name: [NSWindowEvent setKeyRepeat:]
Adress: 4295242000, Name: [NSWindowEvent acceptsFirstResponder]
Adress: 4295242016, Name: [NSWindowEvent flagsChanged:]
Adress: 4295242192, Name: [NSWindowEvent keyDown:]
Adress: 4295242320, Name: [NSWindowEvent keyUp:]
Adress: 4295242400, Name: [NSWindowEvent mouseDown:]
Adress: 4295242608, Name: [NSWindowEvent rightMouseDown:]
Adress: 4295242816, Name: [NSWindowEvent otherMouseDown:]
Adress: 4295243024, Name: [NSWindowEvent mouseUp:]
Adress: 4295243232, Name: [NSWindowEvent rightMouseUp:]
Adress: 4295243440, Name: [NSWindowEvent otherMouseUp:]
Adress: 4295243648, Name: [NSWindowEvent mouseMoved:]
Adress: 4295243744, Name: [NSWindowEvent mouseDragged:]
Adress: 4295243840, Name: [NSWindowEvent rightMouseDragged:]
Adress: 4295243936, Name: [NSWindowEvent otherMouseDragged:]
Adress: 4295244032, Name: [NSWindowEvent scrollWheel:]
Adress: 4295244304, Name: [NSWindowEvent exposeNotification:]
Adress: 4295244352, Name: [NSWindowEvent closeNotification:]
Adress: 4295244400, Name: [NSWindowEvent deminiaturizeNotification:]
Adress: 4295244432, Name: [MlxWin initWithRect:andTitle:pfaAttrs:]
Adress: 4295245056, Name: [MlxWin pixel_management]
Adress: 4295246112, Name: [MlxWin ctxNeedsUpdate]
Adress: 4295246144, Name: [MlxWin selectGLContext]
Adress: 4295246272, Name: [MlxWin flushGLContext]
Adress: 4295246320, Name: [MlxWin ctx]
Adress: 4295246352, Name: [MlxWin win]
Adress: 4295246384, Name: [MlxWin pixelPutColor:X:Y:]
Adress: 4295246544, Name: [MlxWin destroyPixelManagement]
Adress: 4295246704, Name: [MlxWin destroyMe]
Adress: 4295246848, Name: [MlxWin setEvent:andFunc:andParam:]
Adress: 4295246880, Name: [MlxWin setKeyRepeat:]
Adress: 4295246912, Name: [MlxWin clearWin]
Adress: 4295246944, Name: [MlxWin mlx_gl_draw_img:andCtx:andX:andY:]
Adress: 4295247312, Name: [MlxWin mlx_gl_draw_font:andCtx:andX:andY:andColor:glyphX:glyphY:]
Adress: 4295247856, Name: [MlxWin mlx_gl_draw]
Adress: 4295248208, Name: mlx_new_window
Adress: 4295248496, Name: mlx_clear_window
Adress: 4295248560, Name: mlx_expose_hook
Adress: 4295248592, Name: mlx_key_hook
Adress: 4295248624, Name: mlx_mouse_hook
Adress: 4295248656, Name: mlx_hook
Adress: 4295248688, Name: mlx_do_key_autorepeatoff
Adress: 4295248784, Name: mlx_do_key_autorepeaton
Adress: 4295248880, Name: mlx_destroy_window
Adress: 4295249120, Name: do_loop_hook2
Adress: 4295249136, Name: do_loop_flush
Adress: 4295249248, Name: mlx_init
Adress: 4295249792, Name: mlx_loop
Adress: 4295249936, Name: mlx_pixel_put
Adress: 4295250032, Name: mlx_int_loop_once
Adress: 4295250256, Name: mlx_do_sync
Adress: 4295250640, Name: mlx_loop_hook
Adress: 4295250832, Name: mlx_new_image
Adress: 4295251008, Name: add_img_to_ctx
Adress: 4295251312, Name: mlx_put_image_to_window
Adress: 4295251488, Name: mlx_get_data_addr
Adress: 4295251520, Name: mlx_get_color_value
Adress: 4295251536, Name: mlx_string_put
Adress: 4295251776, Name: mlx_destroy_image
Adress: 4295252080, Name: mlx_int_get_line
Adress: 4295252240, Name: mlx_int_static_line
Adress: 4295252416, Name: mlx_int_get_col_name
Adress: 4295252560, Name: mlx_int_get_text_rgb
Adress: 4295252784, Name: mlx_int_xpm_set_pixel
Adress: 4295252800, Name: mlx_int_parse_xpm
Adress: 4295254336, Name: mlx_int_file_get_rid_comment
Adress: 4295254608, Name: mlx_xpm_file_to_image
Adress: 4295254848, Name: mlx_xpm_to_image
Adress: 4295254896, Name: mlx_int_str_str
Adress: 4295255024, Name: mlx_int_str_str_cote
Adress: 4295255184, Name: mlx_int_str_to_wordtab
Adress: 4295255520, Name: mipng_is_type
Adress: 4295255584, Name: mipng_defilter_none
Adress: 4295255600, Name: mipng_defilter_sub
Adress: 4295255616, Name: mipng_defilter_up
Adress: 4295255632, Name: mipng_defilter_average
Adress: 4295255664, Name: mipng_defilter_paeth
Adress: 4295255776, Name: mipng_fill_img
Adress: 4295256368, Name: mipng_data
Adress: 4295257024, Name: mipng_magic
Adress: 4295257088, Name: mipng_crc
Adress: 4295257296, Name: mipng_structure
Adress: 4295257872, Name: mipng_verif_hdr
Adress: 4295258016, Name: mlx_int_parse_png
Adress: 4295258384, Name: mlx_png_file_to_image
Adress: 4295258640, Name: ft_calloc
Adress: 4295258752, Name: ft_memcpy
Adress: 4295258896, Name: ft_memmove
Adress: 4295259088, Name: ft_memset
Adress: 4295259184, Name: ft_atoi
Adress: 4295259488, Name: ft_check
Adress: 4295259600, Name: ft_isalnum
Adress: 4295259664, Name: ft_isalpha
Adress: 4295259744, Name: ft_isdigit
Adress: 4295259808, Name: ft_strchr
Adress: 4295259984, Name: ft_strlen
Adress: 4295260048, Name: ft_strncmp
Adress: 4295260272, Name: ft_strnstr
Adress: 4295260576, Name: ft_strrnstr
Adress: 4295260880, Name: ft_trimr
Adress: 4295261040, Name: ft_triml
Adress: 4295261216, Name: ft_trim
Adress: 4295261264, Name: ft_isspace
Adress: 4295261376, Name: ft_strcmp
Adress: 4295261584, Name: ft_strskip_digit
Adress: 4295261744, Name: ft_strskip_alpha
Adress: 4295261904, Name: ft_strskip_space
Adress: 4295262064, Name: ft_strskip_alnum
Adress: 4295262224, Name: ft_end_with
Adress: 4295262384, Name: ft_pow2
Adress: 4295262416, Name: ft_abs
Adress: 4295262480, Name: ft_sqrt
Adress: 4295262704, Name: ft_maxui
Adress: 4295262768, Name: ft_maxi
Adress: 4295262832, Name: ft_maxf
Adress: 4295262896, Name: ft_minui
Adress: 4295262960, Name: ft_mini
Adress: 4295263024, Name: ft_minf
Adress: 4295263104, Name: vec2
Adress: 4295263152, Name: vec2_copy
Adress: 4295263200, Name: vec2_zero
Adress: 4295263232, Name: vec2_set
Adress: 4295263280, Name: vec2_add
Adress: 4295263344, Name: vec2_divi
Adress: 4295263424, Name: vec2_divf
Adress: 4295263488, Name: vec2_divv2
Adress: 4295263568, Name: vec2_mag
Adress: 4295263648, Name: vec2_multi
Adress: 4295263712, Name: vec2_multf
Adress: 4295263776, Name: vec2_multv2
Adress: 4295263840, Name: vec2_normalize
Adress: 4295263936, Name: vec2_normalized
Adress: 4295264032, Name: v2_to_iv2
Adress: 4295264096, Name: v2_to_v3
Adress: 4295264160, Name: v2_to_v4
Adress: 4295264224, Name: ivec2
Adress: 4295264272, Name: ivec2_copy
Adress: 4295264320, Name: ivec2_zero
Adress: 4295264352, Name: ivec2_set
Adress: 4295264400, Name: iv2_to_v2
Adress: 4295264464, Name: iv2_to_v3
Adress: 4295264528, Name: iv2_to_v4
Adress: 4295264608, Name: vec3
Adress: 4295264672, Name: vec3_copy
Adress: 4295264720, Name: vec3_zero
Adress: 4295264752, Name: vec3_set
Adress: 4295264800, Name: vec4
Adress: 4295264880, Name: vec4_copy
Adress: 4295264944, Name: vec4_zero
Adress: 4295264976, Name: vec4_set
Adress: 4295265040, Name: gc_memcpy
Adress: 4295265440, Name: gc_memmove
Adress: 4295265824, Name: gc_memset
Adress: 4295265856, Name: gc_memseti
Adress: 4295266176, Name: gc_strlcpy
Adress: 4295266256, Name: gc_strlen
Adress: 4295266288, Name: gc_memsetl
Adress: 4295266608, Name: gc_get_next_line
Adress: 4295267040, Name: gc_strappend
Adress: 4295267152, Name: gc_calloc
Adress: 4295267216, Name: gct_calloc
Adress: 4295267280, Name: gc_icalloc
Adress: 4295267344, Name: gc_itoa
Adress: 4295267632, Name: gct_itoa
Adress: 4295267920, Name: gc_strdup
Adress: 4295268000, Name: gct_strdup
Adress: 4295268080, Name: gc_istrdup
Adress: 4295268160, Name: gc_strjoin
Adress: 4295268336, Name: gct_strjoin
Adress: 4295268512, Name: gc_strarray_append
Adress: 4295268640, Name: gct_strarray_append
Adress: 4295268768, Name: gc_istrarray_append
Adress: 4295268896, Name: gc_strarray_free
Adress: 4295268976, Name: gc_strarray_init
Adress: 4295269008, Name: gct_strarray_init
Adress: 4295269040, Name: gc_istrarray_init
Adress: 4295269072, Name: gc_strarray_size
Adress: 4295269120, Name: gc_get
Adress: 4295269168, Name: gc_grow
Adress: 4295269312, Name: gc_must_grow
Adress: 4295269344, Name: gc_own
Adress: 4295269472, Name: gct_own
Adress: 4295269600, Name: gc_iown
Adress: 4295269696, Name: gc_alloc
Adress: 4295269776, Name: gct_alloc
Adress: 4295269856, Name: gc_ialloc
Adress: 4295269936, Name: gc_free
Adress: 4295270032, Name: free_childs
Adress: 4295270240, Name: update_parents
Adress: 4295270368, Name: free_ptr
Adress: 4295270640, Name: gct_free
Adress: 4295270752, Name: gc_clean
Adress: 4295270880, Name: gc_null_ptr
Adress: 4295270912, Name: gc_get_internal_ptr
Adress: 4295270992, Name: gc_contains_ptr
Adress: 4295271088, Name: gc_get_current_parent
Adress: 4295271136, Name: gc_has_global_parent
Adress: 4295271168, Name: gc_ptr
Adress: 4295271216, Name: gc_is_valid_ptr_index
Adress: 4295271232, Name: gc_child_count
Adress: 4295271280, Name: gc_parent_count
Adress: 4295271328, Name: gc_init
Adress: 4295271472, Name: gc_getfootprint
Adress: 4295271664, Name: gc_get_malloc_calls
Adress: 4295271680, Name: gc_failed
Adress: 4295271712, Name: gc_get_last_error
Adress: 4295271728, Name: gc_get_errors
Adress: 4295271744, Name: gc_error_allocation
Adress: 4295271760, Name: gc_error_scope_overflow
Adress: 4295271776, Name: gc_error_scope_underflow
Adress: 4295271792, Name: gc_error_errors_overflow
Adress: 4295271808, Name: gc_error_clean_empty
Adress: 4295271824, Name: gc_error_detach_wrong_pointer
Adress: 4295271840, Name: gc_error_too_much_parents
Adress: 4295271856, Name: gc_error_attach_same_parent
Adress: 4295271872, Name: gc_error_detach_not_parent
Adress: 4295271888, Name: gc_error_own_twice
Adress: 4295271904, Name: gc_error
Adress: 4295271984, Name: gc_free2d
Adress: 4295272048, Name: gc_set_callback
Adress: 4295272096, Name: gc_set_callback_param
Adress: 4295272128, Name: gc_clean_on_error
Adress: 4295272160, Name: gc_set_default_capacity
Adress: 4295272272, Name: can_change_settings
Adress: 4295272304, Name: gc_attach
Adress: 4295272400, Name: gc_detach
Adress: 4295272496, Name: gc_add_child
Adress: 4295273120, Name: gc_remove_child
Adress: 4295273392, Name: gc_can_insert
Adress: 4295273472, Name: gc_insert_ptr
Adress: 4295273568, Name: gc_create_generic_ptr
Adress: 4295273664, Name: gc_create_temporary_ptr
Adress: 4295273760, Name: gc_create_internal_ptr
[init_start_time] Was used and profiled
[init_gc] Was used and profiled
[init_window] Was used and profiled
[load_bitmap_font] Was used and profiled
[load_font_infos] Was used and profiled
[populate_char_info] Was used and profiled
[parse_char_infos] Was used and profiled
